tweet
So AMAZING!!!! Wow wow wow 🤩. THANK YOU SO MUCH! Means so much to my kids and their families at the @IPROMISESchool ❤️❤️❤️❤️❤️ https://t.co/gbdHRiAH61
Man that was BOGUS AS HELL MAN!!!!! Cmon man. 🤦🏾‍♂️
"To every NBA fan ready to watch playoffs, please take a minute to read this letter and consider our call to action. Black, brown, white, this fight is real and you can’t sit on the sidelines.  @morethanavote #BlackLivesMatter https://t.co/MoXgTWlcGS"
Great heavyweight fight!! #UFC252 #TeamStipe #HomeTeamRep 🙏🏾💪🏾👑
Bumping Nip All Day Long/Night!! Happy G-Day! I know you gone have one helluva shindig in Paradise today! 🙌🏾💙 #TMC🏁
Suga stay laced with that 👑 kick 🔥🔥🔥🔥🔥🔥🔥!! @14Sugar 🙏🏾💪🏾👸🏾 https://t.co/vd6nvrzxQQ
Is 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 🐬 🐬🐬🐬🐬 https://t.co/Bt9dSdnUrR
"Thank you to everyone who participated and donated!! 🙏🏾❤️ @Walmart @FeedingAmerica But the work is never done. To continue supporting your local food bank, you can head to https://t.co/4M4cA2oEcY 👑 https://t.co/56wNWi44eH"
Not 1 lie told! You said it and I response was just that! 🙏🏾 https://t.co/ak4NmFRywD
👀👑🙏🏾 https://t.co/e8iOFE0SAI
Thank you @Dodgers and @DAVIDprice24 for bringing MLB into this important initiative.  Who got next?  @Morethanavote #BlackLivesMatter https://t.co/qYAUY30T3M
Yessir!!!!!!! @mavcarter @TheSpringHillCo. 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾. Congrats to the whole team! Love this project from the time we received it. WOW!! 🙏🏾✊🏾👑 https://t.co/fcbhJQCLKJ
That was AMAZING!!!!!!!! S/O the Suns for that. Damn I miss my family! 😢😢😢❤️❤️ #JamesGang👑 https://t.co/SSA8Dknpn3
👏🏾🙌🏾👏🏾🙌🏾✊🏾Congrats and well deserved Sen. Kamala Harris!! Love to see and support it! Appreciate you JB https://t.co/OErXQ5TqQL
NEVER FORGET AND NEVER WILL LET UP UNTIL JUSTICE IS SERVED!!!!!!!!! https://t.co/DaKX4Q7F5q
Thank you @JocelynBenson @FrankLaRose @SecretaryWay @beckerdavidj @ PamAndJeffco for partnering with us.  #votersuppression #protecthomecourt @morethanavote https://t.co/ZbPY1B14yM
For sure!!! Team tough. Need that Madden 21 though ASAP in this bubble. 👑👀 https://t.co/YVdUTrG3p8
Will send end of week 7 updates after tonight’s games. 🏈 🎮 https://t.co/WRhASRygdx
"🤦🏾‍♂️!!! Mistaken a SUV for a stolen motorcycle????? Huh, What, how??? Explain that me. You know what don’t even try cause I already know. Exactly what you said LP! INCORRECT SYSTEMIC POLICING BEHAVIOR!!!!!! https://t.co/qJkGzVmjH9"
Happy Bday to my President and my friend @BarackObama!! Love 🙏🏾✊🏾👑 https://t.co/gqH37R7avE
@RomeTrav Super fresh my guy!!
